device,predicate
K992784,K983197
K992782,K771278
K992777,K983171
K992773,K792273
K992770,K945651
K992769,K902996
K992769,K945975
K992769,K963189
K992767,K971971
K992767,K932129
K992764,K904560
K992764,K902996
K992764,K963189
K992763,K955278
K992761,K990970
K992761,K974813
K992761,K940942
K992760,K972415
K992755,K990631
K992755,K991028
K992755,K994275
K992749,K971868
K992749,K973527
K992744,K990189
K992742,K944678
K992741,K812635
K992739,K990745
K992738,K980485
K992738,K982990
K992736,K951898
K992736,K935636
K992733,K844385
K992733,K834405
K992731,K499731
K992731,K903315
K992731,K952109
K992731,K892358
K992729,K861152
K992727,K960548
K992726,K982235
K992726,K980955
K992726,K974362
K992726,K973695
K992726,K971951
K992726,K972567
K992726,K946126
K992726,K982156
K992726,K973317
K992723,K962475
K992723,K910238
K992720,K990099
K992717,K982235
K992717,K980955
K992717,K974362
K992717,K973695
K992717,K971951
K992717,K972567
K992717,K946126
K992717,K982156
K992717,K973317
K992715,K944547
K992715,K844547
K992714,K922802
K992713,K946322
K992713,K872712
K992713,K961070
K992709,K972707
K992709,K883188
K992709,K#883188
K992707,K980361
K992704,K860371
K992699,K861152
K992698,K982769
K992698,K983815
K992697,K830730
K992697,K942024
K992694,K492694
K992689,K914698
K992689,K980379
K992687,K970377
K992687,K980924
K992684,K930979
K992684,K970707
K992684,K982002
K992684,K980731
K992684,K982076
K992683,K950045
K992683,K961421
K992683,K946165
K992682,K954385
K992682,K961421
K992682,K946165
K992680,K954418
K992674,K922974
K992674,K932842
K992674,K990125
K992674,K914571
K992673,K952673
K992672,K972284
K992667,K921274
K992667,K955296
K992667,K961378
K992666,K954159
K992666,K945459
K992666,K926258
K992663,K954022
K992663,K963616
K992660,K970734
K992656,K872084
K992656,K983141
K992654,K980648
K992650,K984278
K992650,K980691
K992647,K982235
K992647,K980955
K992647,K974362
K992647,K973695
K992647,K971951
K992647,K972567
K992647,K946126
K992647,K982156
K992647,K973317
K992646,K982235
K992646,K980955
K992646,K974362
K992646,K973695
K992646,K971951
K992646,K972567
K992646,K946126
K992646,K982156
K992646,K973317
K992645,K991220
K992645,K973513
K992645,K964578
K992645,K962440
K992645,K990763
K992645,K950203
K992645,K962878
K992644,K972168
K992643,K914251
K992643,K934749
K992638,K971569
K992638,K970182
K992638,K955113
K992637,K980495
K992637,K912829
K992636,K990125
K992636,K922210
K992636,K922058
